"sales_month","kind_of_business","sales","yearly_sales","pctg_yearly"
"2009-10-01","Men's clothing stores",610,7353,8.2959336325309398
"2009-10-01","Women's clothing stores",3095,36055,8.5841076133684648
"2009-11-01","Women's clothing stores",3189,36055,8.8448204132575232
"2009-11-01","Men's clothing stores",620,7353,8.4319325445396437
"2009-12-01","Women's clothing stores",4074,36055,11.2994036888087644
"2009-12-01","Men's clothing stores",930,7353,12.6478988168094655
"2010-01-01","Women's clothing stores",2304,37690,6.1130273282037676
"2010-01-01","Men's clothing stores",476,7285,6.5339739190116678
"2010-02-01","Men's clothing stores",471,7285,6.4653397391901167
"2010-02-01","Women's clothing stores",2480,37690,6.5799946935526665
"2010-03-01","Men's clothing stores",568,7285,7.7968428277282086
