"sales_month","kind_of_business","sales"
"2014-03-01","Men's clothing stores",702
"2014-03-01","Women's clothing stores",3548
"2014-04-01","Men's clothing stores",785
"2014-04-01","Women's clothing stores",3603
"2014-05-01","Men's clothing stores",801
"2014-05-01","Women's clothing stores",3774
"2014-06-01","Men's clothing stores",702
"2014-06-01","Women's clothing stores",3183
"2014-07-01","Men's clothing stores",655
"2014-07-01","Women's clothing stores",3178
"2014-08-01","Men's clothing stores",692
"2014-08-01","Women's clothing stores",3455
"2014-09-01","Men's clothing stores",694
"2014-09-01","Women's clothing stores",3247
"2014-10-01","Men's clothing stores",757
"2014-10-01","Women's clothing stores",3484
"2014-11-01","Men's clothing stores",803
"2014-11-01","Women's clothing stores",3859
"2014-12-01","Men's clothing stores",1070
"2014-12-01","Women's clothing stores",4952
"2015-01-01","Men's clothing stores",581
"2015-01-01","Women's clothing stores",2512
"2015-02-01","Men's clothing stores",633
"2015-02-01","Women's clothing stores",2762
"2015-03-01","Men's clothing stores",699
"2015-03-01","Women's clothing stores",3545
"2015-04-01","Men's clothing stores",767
"2015-04-01","Women's clothing stores",3458
"2015-05-01","Men's clothing stores",799
"2015-05-01","Women's clothing stores",3746
"2015-06-01","Men's clothing stores",716
"2015-06-01","Women's clothing stores",3231
"2015-07-01","Men's clothing stores",661
"2015-07-01","Women's clothing stores",3181
"2015-08-01","Men's clothing stores",713
"2015-08-01","Women's clothing stores",3383
"2015-09-01","Men's clothing stores",691
"2015-09-01","Women's clothing stores",3164
"2015-10-01","Men's clothing stores",744
"2015-10-01","Women's clothing stores",3454
"2015-11-01","Men's clothing stores",752
"2015-11-01","Women's clothing stores",3719
"2015-12-01","Men's clothing stores",1054
"2015-12-01","Women's clothing stores",4910
"2016-01-01","Men's clothing stores",558
"2016-01-01","Women's clothing stores",2477
"2016-02-01","Men's clothing stores",621
"2016-02-01","Women's clothing stores",2939
"2016-03-01","Men's clothing stores",706
"2016-03-01","Women's clothing stores",3659
"2016-04-01","Men's clothing stores",729
"2016-04-01","Women's clothing stores",3519
"2016-05-01","Men's clothing stores",771
"2016-05-01","Women's clothing stores",3606
"2016-06-01","Men's clothing stores",718
"2016-06-01","Women's clothing stores",3240
"2016-07-01","Men's clothing stores",628
"2016-07-01","Women's clothing stores",3141
"2016-08-01","Men's clothing stores",666
"2016-08-01","Women's clothing stores",3388
"2016-09-01","Men's clothing stores",681
"2016-09-01","Women's clothing stores",3170
"2016-10-01","Men's clothing stores",691
"2016-10-01","Women's clothing stores",3274
"2016-11-01","Men's clothing stores",730
"2016-11-01","Women's clothing stores",3718
"2016-12-01","Men's clothing stores",995
"2016-12-01","Women's clothing stores",4714
"2017-01-01","Men's clothing stores",559
"2017-01-01","Women's clothing stores",2454
"2017-02-01","Men's clothing stores",578
"2017-02-01","Women's clothing stores",2763
"2017-03-01","Men's clothing stores",715
"2017-03-01","Women's clothing stores",3485
"2017-04-01","Men's clothing stores",746
"2017-04-01","Women's clothing stores",3624
"2017-05-01","Men's clothing stores",781
"2017-05-01","Women's clothing stores",3616
"2017-06-01","Men's clothing stores",717
"2017-06-01","Women's clothing stores",3341
"2017-07-01","Men's clothing stores",614
"2017-07-01","Women's clothing stores",3199
"2017-08-01","Men's clothing stores",640
"2017-08-01","Women's clothing stores",3293
"2017-09-01","Men's clothing stores",676
"2017-09-01","Women's clothing stores",3122
"2017-10-01","Men's clothing stores",662
"2017-10-01","Women's clothing stores",3299
"2017-11-01","Men's clothing stores",699
"2017-11-01","Women's clothing stores",3774
"2017-12-01","Men's clothing stores",911
"2017-12-01","Women's clothing stores",4690
"2018-01-01","Men's clothing stores",528
"2018-01-01","Women's clothing stores",2391
"2018-02-01","Men's clothing stores",556
"2018-02-01","Women's clothing stores",2721
"2018-03-01","Men's clothing stores",689
"2018-03-01","Women's clothing stores",3545
"2018-04-01","Men's clothing stores",737
"2018-04-01","Women's clothing stores",3429
"2018-05-01","Men's clothing stores",775
"2018-05-01","Women's clothing stores",3805
"2018-06-01","Men's clothing stores",696
"2018-06-01","Women's clothing stores",3298
"2018-07-01","Men's clothing stores",588
"2018-07-01","Women's clothing stores",3208
"2018-08-01","Men's clothing stores",637
"2018-08-01","Women's clothing stores",3373
"2018-09-01","Men's clothing stores",691
"2018-09-01","Women's clothing stores",3178
"2018-10-01","Men's clothing stores",679
"2018-10-01","Women's clothing stores",3521
"2018-11-01","Men's clothing stores",742
"2018-11-01","Women's clothing stores",4157
"2018-12-01","Men's clothing stores",890
"2018-12-01","Women's clothing stores",4547
"2019-01-01","Men's clothing stores",585
"2019-01-01","Women's clothing stores",2511
"2019-02-01","Men's clothing stores",514
"2019-02-01","Women's clothing stores",2680
"2019-03-01","Men's clothing stores",642
"2019-03-01","Women's clothing stores",3585
"2019-04-01","Men's clothing stores",737
"2019-04-01","Women's clothing stores",3604
"2019-05-01","Men's clothing stores",747
"2019-05-01","Women's clothing stores",3807
"2019-06-01","Men's clothing stores",645
"2019-06-01","Women's clothing stores",3272
"2019-07-01","Men's clothing stores",581
"2019-07-01","Women's clothing stores",3261
"2019-08-01","Men's clothing stores",617
"2019-08-01","Women's clothing stores",3325
"2019-09-01","Men's clothing stores",662
"2019-09-01","Women's clothing stores",3080
"2019-10-01","Men's clothing stores",674
"2019-10-01","Women's clothing stores",3390
"2019-11-01","Men's clothing stores",714
"2019-11-01","Women's clothing stores",3850
"2019-12-01","Men's clothing stores",863
"2019-12-01","Women's clothing stores",4496
"2020-01-01","Men's clothing stores",550
"2020-01-01","Women's clothing stores",2532
"2020-02-01","Men's clothing stores",527
"2020-02-01","Women's clothing stores",2797
"2020-03-01","Men's clothing stores",267
"2020-03-01","Women's clothing stores",1564
"2020-04-01","Men's clothing stores",90
"2020-04-01","Women's clothing stores",495
"2020-05-01","Men's clothing stores",155
"2020-05-01","Women's clothing stores",1099
"2020-06-01","Men's clothing stores",303
"2020-06-01","Women's clothing stores",2027
"2020-07-01","Men's clothing stores",405
"2020-07-01","Women's clothing stores",2373
"2020-08-01","Men's clothing stores",379
"2020-08-01","Women's clothing stores",2386
"2020-09-01","Men's clothing stores",401
"2020-09-01","Women's clothing stores",2494
"2020-10-01","Men's clothing stores",NULL
"2020-10-01","Women's clothing stores",2634
"2020-11-01","Men's clothing stores",NULL
"2020-11-01","Women's clothing stores",2726
"2020-12-01","Men's clothing stores",604
"2020-12-01","Women's clothing stores",3399
